word,difficulty
punting,1
crowd,1
secret,1
fumble,1
pond,1
health,1
pardon,1
shake,1
kiddo,1
proof,1
gorp,1
town,1
bingo,1
clever,1
inside,1
reply,1
frozen,1
special,1
film,1
results,1
soda,1
seal,1
twirled,1
admit,1
grown-ups,1
pieces,1
brass,1
onshore,1
stunts,1
deny,1
jolly,1
powder,1
walnut,1
sawdust,1
flustered,1
barber,1
chimes,1
cabin,1
faint,1
manger,1
peppermint,1
broth,1
ash,1
flame,1
grits,1
cliff,1
hem,1
candles,1
brim,1
plot,1
desk,1
bobcat,1
polo,1
roller,1
stark,1
drum,1
snarl,1
argue,1
loppers,1
petal,1
giant,1
sniffle,1
mouth,1
filters,1
cone,1
never,1
silly,1
Monday,1
grub,1
hook,1
number,1
cooking,1
amazed,1
collect,1
local,1
proper,1
basement,1
ripple,1
feats,1
plumbing,1
stubborn,1
adrift,1
sweeten,1
neon,1
beeswax,1
social,1
behold,1
mix,1
drool,1
understand,1
sound,1
benches,1
shrugged,1
still,1
pranks,1
smiled,1
peach,1
pie,1
size,1
hall,1
jangled,1
chain,1
workhorse,1
antennas,1
honest,1
holler,1
billboard,1
chicken,1
puppets,1
waited,1
finish,1
cheer,1
twisty,1
chips,1
scoop,1
rover,1
forgive,1
ribbon,1
shoo,1
greedy,1
beam,1
crew,1
crate,1
hotel,1
stray,1
gallop,2
 dinosaur,2
brought,2
ancient,2
earthquake,2
tapestry,2
delivery,2
attagirl,2
salamanders,2
disembark,2
usual,2
challenge,2
cahoots,2
oozing,2
Mars,2
pelican,2
drastic,2
yoga,2
burlap,2
blazer,2
trombone,2
trembling,2
calmed,2
police,2
certain,2
barograph ,2
harred,2
Pakistan,2
pressure,2
surmised,2
teak,2
luggage,2
ramparts,2
vinyl,2
anemometers,2
dainty,2
buckle,2
vividly,2
briny,2
pavement,2
garnet,2
furrow,2
sprawl,2
museum,2
wren,2
legend,2
transistor,2
amplify,2
security,2
refrain,2
tactics,2
shepherd,2
Angus,2
mulish,2
rivalry,2
siblings,2
chestnut,2
minivan,2
plaid,2
tissue,2
scoundrel,2
amino,2
menthol,2
Tabasco,2
obvious,2
pulse,2
cottage,2
garland,2
gnaw,2
comfort,2
foolishness,2
constellation,2
sundering,2
juncture,2
exploits,2
rabble-rouser,2
profound,2
wreath,2
profile,2
untoward,2
memorial,2
industrial,2
barrier,2
gratingly,2
brayed,2
Harlem,2
messenger,2
beacons,2
generation,2
coverage,2
deters,2
Nepal,2
disinfectant,2
campaign,2
starvation,2
gamma,2
spleen,2
utensils,2
depot,2
incident,2
brambles,2
trifecta,2
shingle,2
mason,2
avoid,2
static,2
samples,2
modern,2
chalk,2
concentrate,2
proud,2
expiration,2
batteries,2
centuries,2
differed,2
fearsome,2
fiercest,2
residence,2
abated,2
scattering,2
toppled,2
vane,2
vortices,2
turbulent,2
obstacles,2
continental,2
deportment,2
exhibits,2
agricultural,2
momentous,2
disturbance,2
wily,2
rookie,2
transparencies,2
hazmat,2
Antarctic,2
cornichon,3
devastavit,3
Mediterranean,3
longevous,3
digerati,3
solecism,3
hypertrophy,3
ravigote,3
inchoate,3
judoka,3
vaccary,3
Adelaide,3
unwonted,3
tazza,3
damson,3
pelisse,3
succade,3
tumulus,3
dorsiflexor,3
profiterole,3
valetudinary,3
aristoi,3
vireo,3
rococo,3
lachsschinken,3
wakame,3
bathos,3
nihilism,3
ustion,3
sumpsimus,3
morel,3
abeyance,3
rongeur,3
mountebank,3
allelopathy,3
capoeira,3
agnolotti,3
ballabile,3
draegerman,3
prescient,3
Fribourg,3
tenon,3
nubilous,3
iatrogenic,3
onychitis,3
roux,3
tuatara,3
chicle,3
sulcus,3
thalamus,3
gyttja,3
jibboom,3
vestigial,3
Orwellian,3
gimbaled,3
cabaletta,3
hesped,3
umami,3
persiflage,3
toreador,3
vermicelli,3
frangipane,3
reseau,3
moulage,3
interpellate,3
genuflect,3
cinerarium,3
polemic,3
paladin,3
totipotency,3
agnomen,3
Bauhaus,3
sacerdotal,3
skeuomorph,3
binturong,3
mamushi,3
lipophilic,3
codicil,3
coulomb,3
violaceous,3
Rorschach,3
arthralgia,3
desman,3
jacaranda,3
huapango,3
predilection,3
entomophagy,3
paronomasia,3
facsimile,3
renminbi,3
interferon,3
sedulous,3
velouté,3
Aesopian,3
frigate,3
lacrosse,3
sangfroid,3
ignoble,3
diaphoresis,3
kurta,3
Hyperion,3
Geiger,3
thermohaline,3
gannet,3
palladium,3
brevet,3
pamphlet,3
palindrome,3
visite,3
satsuma,3
stirrups,3
Connemara,3
abundance,3
calamitous,3
dropsonde,3
proclamation,3
hokum,3
colossal,3
coltan,3
squadron,3
marinate,3
anagrams,3
Himalayan,3
aspersions,3
culminate,3
helium,3
steeplechasing,3
Teflon,3
bantam,3
apprentice,3
reluctant,3
heritage,3
sojourner,3
derogatory,3
palsy,3
Lascaux,3
nefarious,3
halogens,3
gallium,3
